author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315038053/;Москва;sale;flat;5;31;3;86.4;43000000;Хорошево-Мневники;Карамышевская набережная;2А;Народное Ополчение;Утесов
Мариана Ефимова;realtor;https://www.cian.ru/sale/flat/313489145/;Москва;sale;flat;4;12;1;42.0;11500000;Нагатино-Садовники; Академика Миллионщикова;31;Каширская;
ID 89914662;homeowner;https://www.cian.ru/sale/flat/315356214/;Москва;sale;flat;16;22;3;76.0;23200000;Ломоносовский; Академика Пилюгина;26К1;Новаторская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/313240274/;Москва;sale;flat;18;32;2;75.4;41700000;Хорошево-Мневники;проспект Маршала Жукова;43к5;Народное Ополчение;Wellton park
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/306834640/;Москва;sale;flat;10;33;3;113.9;47000000;Тропарево-Никулино;проспект Вернадского;105к4;Юго-Западная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315108495/;Москва;sale;flat;9;25;3;100.0;43900000;Академический;проспект 60-летия Октября;8;Академическая;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315558144/;Москва;sale;flat;9;17;2;58.6;15500000;Митино;Дубравная ;40;Митино;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315300607/;Москва;sale;flat;2;26;2;42.7;18900000;Головинский;Кронштадтский бульвар;6к1;Водный стадион;Водный
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315442756/;Москва;sale;flat;16;30;3;130.0;53950000;Сокол; Врубеля;8;Панфиловская;Поселок художников
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304950407/;Москва;sale;flat;2;9;4;120.0;53000000;Мещанский;Астраханский переулок;5;Проспект Мира;
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/312794034/;Москва;sale;flat;7;17;3;108.8;54000000;Раменки;Мичуринский проспект;11К4;Раменки;
Андрей Тютюнник;realtor;https://www.cian.ru/sale/flat/306753036/;Москва;sale;flat;6;14;2;51.1;14550000;Тимирязевский;3-й Нижнелихоборский проезд;2К1;Петровско-Разумовская;
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308335219/;Москва;sale;flat;15;23;2;100.8;40000000;Раменки; Пырьева;9к2;Поклонная;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/314522554/;Москва;sale;flat;9;17;3;74.7;18000000;Некрасовка;проспект Защитников Москвы;12;Некрасовка;Некрасовка-Парк
ID 71422053;homeowner;https://www.cian.ru/sale/flat/313445295/;Москва;sale;flat;2;10;3;100.0;48900000;Басманный;Переведеновский переулок;6А;Бауманская;
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/314368469/;Москва;sale;flat;12;18;3;125.0;55000000;Хорошево-Мневники;проспект Маршала Жукова;58К1;Бульвар Генерала Карбышева;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314650441/;Москва;sale;flat;6;8;2;57.0;34500000;Можайский; Гришина;16;Рабочий посёлок;Level Кутузовский
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/315334591/;Москва;sale;flat;8;17;1;38.0;11000000;Чертаново Северное;Сумской проезд;2К6;Чертановская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/314699560/;Москва;sale;flat;23;23;1;35.9;19100000;Лефортово;Красноказарменная ;14Ак2;Авиамоторная;Пётр I
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/310765033/;Москва;sale;flat;15;22;2;56.0;28450000;Раменки; Столетова;15;Раменки;Мичуринский
Арман Оганесян;realtor;https://www.cian.ru/sale/flat/314647914/;Москва;sale;flat;3;12;2;75.0;46550000;Проспект Вернадского; Удальцова;22;Проспект Вернадского;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305688198/;Москва;sale;flat;27;27;2;70.0;38000000;Южнопортовый; 1-я Машиностроения;10;Дубровка;Дубровская Слобода
ОЛ ИНКЛЮЗИВ;real_estate_agent;https://www.cian.ru/sale/flat/314866404/;Москва;sale;flat;12;18;3;105.0;44500000;Кунцево;Ельнинская ;11К3;Молодёжная;Изумрудная долина III
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315462285/;Москва;sale;flat;5;20;3;94.0;48500000;Щукино;Щукинская ;2;Стрешнево;Доминанта
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/311341337/;Москва;sale;flat;20;21;2;67.5;55000000;Беговой;Ленинградский проспект;29к2;Динамо;Царская площадь
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/314133589/;Москва;sale;flat;3;12;2;75.2;49500000;Проспект Вернадского; Удальцова;26;Проспект Вернадского;
Наталья Андреева;realtor;https://www.cian.ru/sale/flat/315388536/;Москва;sale;flat;8;17;2;54.0;10700000;;проспект Нововатутинский;9;Кедровая;Новые Ватутинки, мкр. Центральный
Анастасия Гусева;realtor;https://www.cian.ru/sale/flat/315145942/;Москва;sale;flat;12;12;3;64.4;27000000;Раменки; Довженко;12К2;Минская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308063059/;Москва;sale;flat;13;28;3;76.6;41000000;Войковский; Адмирала Макарова;6Бк1;Водный стадион;Невский
Антон Шестаков;realtor;https://www.cian.ru/sale/flat/315317549/;Москва;sale;flat;9;17;1;39.0;9900000;Южное Бутово;бульвар Адмирала Ушакова;11;Улица Скобелевская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/314327691/;Москва;sale;flat;28;30;3;115.0;48900000;Сокол; Врубеля;8;Панфиловская;Поселок художников
АЛЬФА;real_estate_agent;https://www.cian.ru/sale/flat/307669189/;Москва;sale;flat;14;17;2;56.7;15500000;; Ясная;1;Коммунарка;
Самолет плюс Москва Шаболовская;real_estate_agent;https://www.cian.ru/sale/flat/314933347/;Москва;sale;flat;12;22;1;38.5;10300000;Чертаново Центральное;Кировоградская ;30;Пражская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303625618/;Москва;sale;flat;17;17;2;58.6;14300000;; Летчика Грицевца;12;Пыхтино;Солнцево парк
ID 12707689;homeowner;https://www.cian.ru/sale/flat/315311339/;Москва;sale;flat;11;18;2;59.0;19900000;Зябликово;Ореховый проезд;41к1;Домодедовская;
ID 129229164;homeowner;https://www.cian.ru/sale/flat/315415244/;Москва;sale;flat;2;10;3;75.2;25555000;Марьино;Мячковский бульвар;8;Братиславская;
AR Realty - Real Estate Agency;real_estate_agent;https://www.cian.ru/sale/flat/303280779/;Москва;sale;flat;11;20;3;117.1;45290000;Свиблово;проезд Серебрякова;11к1;Ботанический сад;Silver
FALCON GROUP;real_estate_agent;https://www.cian.ru/sale/flat/310884204/;Москва;sale;flat;2;14;4;86.2;23900000;Лефортово;Солдатская ;10К2;Лефортово;
Московский Риэлторский Центр;real_estate_agent;https://www.cian.ru/sale/flat/313915704/;Москва;sale;flat;10;17;3;100.7;43000000;Раменки;Мичуринский проспект;34;Раменки;
Наталья Веселова;realtor;https://www.cian.ru/sale/flat/314217229/;Москва;sale;flat;7;9;2;49.5;16500000;Отрадное; Мусоргского;11Б;Отрадное;
МРИЭЛТОР - офис Отрадное;real_estate_agent;https://www.cian.ru/sale/flat/315170720/;Москва;sale;flat;2;19;2;60.7;22500000;Таганский;Рабочая ;16;Москва-Товарная;
ID 25159;realtor;https://www.cian.ru/sale/flat/315170976/;Москва;sale;flat;6;15;1;46.0;11600000;; Сосенский Стан;10;Новомосковская;
Акрополь;real_estate_agent;https://www.cian.ru/sale/flat/314483553/;Москва;sale;flat;12;14;3;80.9;30000000;Академический;Большая Черемушкинская ;2К5;Крымская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/313171879/;Москва;sale;flat;15;16;1;40.0;13900000;Строгино; Кулакова;10;Строгино;
Александр Васильев;realtor;https://www.cian.ru/sale/flat/315206417/;Москва;sale;flat;4;21;1;36.1;9500000;Некрасовка;Рождественская ;31;Некрасовка;
Самолет Плюс Москва ЮГ;real_estate_agent;https://www.cian.ru/sale/flat/304537333/;Москва;sale;flat;7;12;2;55.8;15500000;Южное Бутово;Южнобутовская ;76;Бунинская аллея;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/312585485/;Москва;sale;flat;28;32;3;75.5;37750000;Хорошево-Мневники;проспект Маршала Жукова;43к5;Народное Ополчение;Wellton park
ID 126416626;homeowner;https://www.cian.ru/sale/flat/313709878/;Москва;sale;flat;15;22;3;80.0;28000000;Черемушки;Перекопская ;34к4;Новые Черёмушки;
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/312660495/;Москва;sale;flat;13;19;4;114.0;33000000;Ховрино;Левобережная ;4к14;Беломорская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/310469555/;Москва;sale;flat;12;17;2;54.0;12700000;Некрасовка;Рождественская ;21к5;Некрасовка;
SRG;real_estate_agent;https://www.cian.ru/sale/flat/315409101/;Москва;sale;flat;2;17;1;40.0;15500000;Черемушки;Новочеремушкинская ;57К1;Профсоюзная;
CENTURY 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/313591987/;Москва;sale;flat;6;23;4;146.5;53500000;Кунцево; Екатерины Будановой;5;Рабочий посёлок;Катрин-Хаус
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/314791156/;Москва;sale;flat;15;17;1;38.0;11999999;Братеево; Борисовские Пруды;12К1;Борисово;
